date,open,high,low,close,volume
2025-02-24,2277.15,2283.79,2245.61,2266.24,314290011
2025-02-25,2227.29,2265.91,2224.46,2240.59,292711324
2025-02-26,2246.95,2268.57,2232.31,2268.22,297225033
2025-02-27,2268.5,2279.39,2225.53,2256.51,307273306
2025-02-28,2238.34,2240.78,2163.69,2170.39,281464504
2025-03-03,2176.82,2232.2,2161.36,2196.52,247920944
2025-03-04,2170.99,2193.53,2161.06,2190.08,225876166
2025-03-05,2190.58,2200.87,2173.9,2190.36,233260677
2025-03-06,2204.25,2243.28,2202.01,2234.69,306910775
2025-03-07,2221.91,2226.0,2195.13,2205.31,287065098
2025-03-10,2211.1,2217.77,2182.58,2199.88,231584299
2025-03-11,2172.18,2204.03,2171.27,2204.03,220927831
2025-03-12,2211.15,2214.97,2191.1,2191.27,266044504
2025-03-13,2189.47,2200.91,2154.95,2166.0,250422746
2025-03-14,2165.53,2233.83,2161.89,2226.72,265860088
2025-03-17,2230.85,2233.33,2212.02,2215.13,245505172
2025-03-18,2225.2,2242.22,2215.37,2228.64,238408415
2025-03-19,2221.6,2237.95,2208.26,2222.35,229680955
2025-03-20,2220.5,2221.61,2198.38,2200.03,235839545
2025-03-21,2193.36,2201.42,2149.09,2152.28,260886417
2025-03-24,2154.67,2160.46,2125.13,2152.55,243858778
2025-03-25,2154.2,2165.01,2136.61,2145.48,198697315
2025-03-26,2143.12,2157.78,2139.9,2139.9,184203191
2025-03-27,2130.49,2165.16,2117.75,2145.1,191716879
2025-03-28,2140.07,2152.4,2128.21,2128.21,179554641
2025-03-31,2117.88,2123.87,2087.13,2103.7,186061401
2025-04-01,2108.46,2127.54,2100.3,2101.88,171368258
2025-04-02,2103.39,2121.56,2097.82,2104.63,151329115
2025-04-03,2078.15,2097.67,2057.63,2065.4,163979246
2025-04-07,1925.64,1939.27,1756.64,1807.21,304075576
2025-04-08,1837.54,1877.44,1812.13,1840.31,256682141
2025-04-09,1805.46,1872.93,1777.25,1858.36,279452297
2025-04-10,1920.64,1944.1,1897.34,1900.53,256686850
2025-04-11,1885.86,1943.43,1884.6,1926.37,202378237
2025-04-14,1954.05,1956.16,1928.63,1932.91,191935063
2025-04-15,1933.89,1940.75,1918.44,1930.4,168422550
2025-04-16,1918.03,1919.09,1879.78,1907.11,170499714
2025-04-17,1893.02,1923.53,1892.47,1908.78,150012821
2025-04-18,1904.99,1917.59,1898.78,1913.97,146860953
2025-04-21,1910.9,1947.56,1901.81,1944.32,167432537
2025-04-22,1933.83,1939.69,1923.37,1928.43,171458149
2025-04-23,1950.44,1962.68,1935.68,1949.16,199995890
2025-04-24,1946.23,1958.22,1930.9,1935.86,181545884
2025-04-25,1941.81,1960.63,1937.71,1947.19,169975509
2025-04-28,1951.16,1951.16,1930.06,1934.46,163721220
2025-04-29,1929.27,1941.17,1923.86,1931.94,160186502
2025-04-30,1936.12,1954.62,1931.84,1948.03,166717929
2025-05-06,1966.97,1988.05,1964.46,1986.41,204808226
2025-05-07,2024.3,2035.47,1982.37,1996.51,236777340
2025-05-08,1994.05,2036.1,1991.65,2029.45,208336585
2025-05-09,2028.43,2028.43,2004.48,2011.77,192198639
2025-05-12,2042.9,2066.31,2038.34,2064.71,194979499
2025-05-13,2091.35,2091.35,2058.74,2062.26,197820037
2025-05-14,2062.27,2103.37,2051.82,2083.14,193513311
2025-05-15,2076.04,2076.04,2043.1,2043.25,176851858
2025-05-16,2035.87,2050.89,2035.87,2039.45,163436423
2025-05-19,2038.05,2038.05,2017.17,2032.76,166217009
2025-05-20,2041.5,2059.52,2025.86,2048.46,185563484
2025-05-21,2052.0,2077.48,2050.21,2065.39,175956463
2025-05-22,2065.41,2065.41,2043.89,2045.57,169780258
2025-05-23,2043.2,2060.09,2021.5,2021.5,178391659
2025-05-26,2016.37,2023.49,1991.78,2005.26,147787119
2025-05-27,2001.62,2001.62,1983.9,1991.64,150972274
2025-05-28,1996.49,2001.95,1981.67,1985.38,160736605
2025-05-29,1988.32,2016.21,1986.63,2012.55,196153778
2025-05-30,2002.73,2004.5,1988.19,1993.19,192070841
2025-06-03,1986.54,2012.24,1985.57,2002.7,185115747
2025-06-04,2009.37,2030.92,2009.37,2024.93,185041493
2025-06-05,2026.63,2053.56,2014.44,2048.62,208483808
2025-06-06,2047.87,2051.91,2034.1,2039.44,178108991
2025-06-09,2046.43,2075.58,2045.64,2061.29,202827466
2025-06-10,2057.97,2063.87,2023.17,2037.27,237687808
2025-06-11,2044.28,2076.91,2044.28,2061.87,208455831
2025-06-12,2057.2,2076.84,2051.24,2067.15,214021326
2025-06-13,2054.97,2065.87,2036.96,2043.82,241780969
2025-06-16,2038.7,2062.42,2038.7,2057.32,203702624
2025-06-17,2061.47,2063.08,2045.05,2049.94,216853533
2025-06-18,2046.69,2059.38,2039.25,2054.73,211304448
2025-06-19,2049.18,2057.77,2021.18,2026.82,221788483
2025-06-20,2026.88,2036.02,2007.51,2009.89,190308016
2025-06-23,1996.96,2021.76,1996.96,2017.63,200250341
2025-06-24,2024.7,2065.84,2024.7,2064.13,247840301
2025-06-25,2073.26,2133.03,2072.87,2128.39,267537197
2025-06-26,2128.86,2142.21,2113.14,2114.43,269411209
2025-06-27,2125.85,2146.04,2112.75,2124.34,242281223
2025-06-30,2132.93,2154.0,2128.78,2153.01,239110135
2025-07-01,2149.22,2152.92,2134.57,2147.92,248855791
2025-07-02,2140.14,2140.14,2118.55,2123.72,234471208
2025-07-03,2130.74,2168.61,2130.74,2164.09,219509975
2025-07-04,2168.35,2187.88,2153.62,2156.23,232373615
2025-07-07,2148.93,2155.69,2126.32,2130.19,188950354
2025-07-08,2129.49,2183.06,2129.49,2181.08,228401520
2025-07-09,2179.32,2204.64,2179.11,2184.67,233738509
2025-07-10,2192.99,2199.71,2174.21,2189.58,220663564
2025-07-11,2190.01,2223.31,2181.19,2207.1,238746384
2025-07-14,2207.54,2208.08,2189.08,2197.07,202311831
2025-07-15,2211.4,2245.44,2209.9,2235.05,225037605
2025-07-16,2241.21,2259.64,2227.82,2230.19,205254477
2025-07-17,2228.52,2269.67,2228.52,2269.33,213664610
2025-07-18,2279.67,2296.91,2263.97,2277.15,212360279
2025-07-21,2285.41,2297.14,2273.81,2296.88,225424052
2025-07-22,2295.36,2313.46,2290.38,2310.86,242464648
2025-07-23,2308.11,2333.31,2304.63,2310.67,234159582
2025-07-24,2319.25,2345.37,2318.42,2345.37,233231978
2025-07-25,2348.28,2350.06,2332.02,2340.06,233830394
2025-07-28,2346.38,2366.51,2334.16,2362.6,224563522
2025-07-29,2362.77,2406.59,2355.38,2406.59,237563456
2025-07-30,2395.86,2395.89,2349.18,2367.68,257326940
2025-07-31,2382.97,2394.22,2321.72,2328.31,258986837
2025-08-01,2323.92,2348.02,2304.39,2322.63,234090218
2025-08-04,2307.37,2334.43,2304.48,2334.32,217291942
2025-08-05,2349.44,2351.0,2323.74,2343.38,230759428
2025-08-06,2335.95,2359.82,2335.95,2358.95,261527074
2025-08-07,2359.42,2372.68,2322.81,2342.86,266846722
2025-08-08,2338.25,2353.99,2330.01,2333.96,250831023
2025-08-11,2336.93,2384.86,2336.93,2379.82,252350057
2025-08-12,2381.16,2409.4,2368.81,2409.4,251971544
2025-08-13,2417.47,2497.86,2414.48,2496.5,279783183
2025-08-14,2496.63,2513.37,2463.86,2469.66,303365377
2025-08-15,2464.67,2541.89,2464.67,2534.22,289189742
2025-08-18,2549.55,2633.86,2529.25,2606.2,373626887
2025-08-19,2596.58,2634.6,2586.95,2601.74,334428683
2025-08-20,2572.01,2608.0,2547.44,2607.65,292612013
2025-08-21,2614.91,2626.37,2582.05,2595.47,303848140
2025-08-22,2587.53,2683.9,2587.53,2682.55,303427118
2025-08-25,2720.28,2782.01,2700.28,2762.99,362601498
2025-08-26,2747.11,2773.24,2726.72,2742.13,318782156
2025-08-27,2747.5,2822.27,2723.2,2723.2,377278345
2025-08-28,2707.34,2827.17,2707.34,2827.17,353545862
2025-08-29,2828.01,2933.99,2809.32,2890.13,293731747
2025-09-01,2914.64,2958.14,2886.73,2956.37,283862898
2025-09-02,2951.03,2979.73,2839.92,2872.22,309356625
2025-09-03,2882.84,2926.78,2859.51,2899.37,250916506
2025-09-04,2933.68,2956.41,2741.08,2776.25,262998426
2025-09-05,2789.91,2962.47,2775.17,2958.18,247717272
2025-09-08,2964.43,2964.43,2883.26,2933.25,253293742
2025-09-09,2901.29,2924.58,2843.67,2867.97,222348592
2025-09-10,2890.05,2926.16,2860.26,2904.27,207777643
2025-09-11,2917.77,3053.75,2899.83,3053.75,254479394
2025-09-12,3024.1,3056.53,3009.9,3020.42,251507218
2025-09-15,3052.06,3106.88,3044.69,3066.18,232238395
2025-09-16,3072.3,3089.78,3020.63,3087.04,248549042
2025-09-17,3085.71,3152.31,3064.77,3147.35,251111022
2025-09-18,3119.77,3168.68,3051.3,3095.85,318944357
2025-09-19,3098.28,3128.38,3072.76,3091.0,234774694
2025-09-22,3093.97,3107.89,3053.35,3107.89,207186315
2025-09-23,3139.5,3157.02,3041.46,3114.55,257912089
2025-09-24,3089.9,3185.84,3085.7,3185.57,228593022
2025-09-25,3167.75,3266.0,3161.08,3235.76,233199280
2025-09-26,3222.19,3251.88,3150.84,3151.53,214826619
2025-09-29,3165.07,3259.42,3164.8,3238.01,207295743
2025-09-30,3239.33,3279.02,3218.69,3238.16,202434405
2025-10-09,3251.04,3322.44,3243.71,3261.82,237037603
2025-10-10,3230.46,3235.86,3097.63,3113.26,225512173
2025-10-13,2975.03,3096.4,2975.03,3078.76,218736894
2025-10-14,3121.0,3124.83,2943.58,2955.98,223204207
2025-10-15,2964.52,3030.59,2927.51,3025.87,186015224
2025-10-16,3008.37,3068.84,3001.1,3037.44,181947860
2025-10-17,3026.4,3042.29,2932.68,2935.37,185613716
2025-10-20,3007.21,3042.2,2970.19,2993.45,161809753
2025-10-21,3017.77,3101.93,2994.76,3083.72,178104662
2025-10-22,3061.27,3089.76,3044.04,3059.32,164946532
2025-10-23,3050.74,3066.46,3003.34,3062.16,168698046
2025-10-24,3087.63,3171.57,3082.06,3171.57,189617316
2025-10-27,3227.18,3241.95,3179.62,3234.45,213860991
2025-10-28,3205.44,3282.33,3205.05,3229.58,208601022
2025-10-29,3263.98,3324.27,3258.69,3324.27,214062869
2025-10-30,3313.79,3331.86,3259.21,3263.02,224015734
2025-10-31,3260.26,3281.66,3187.53,3187.53,220275654
2025-11-03,3179.3,3199.4,3120.85,3196.87,217595272
2025-11-04,3190.4,3207.1,3111.02,3134.09,200445072
2025-11-05,3068.95,3179.93,3068.95,3166.23,207545764
2025-11-06,3185.13,3236.68,3177.6,3224.62,202215805
2025-11-07,3201.26,3240.35,3178.8,3208.21,206879652
2025-11-10,3221.93,3236.61,3138.3,3178.83,213869043
2025-11-11,3197.12,3209.89,3130.58,3134.32,213092429
2025-11-12,3122.58,3137.58,3078.64,3122.03,209841194
2025-11-13,3119.09,3209.7,3107.62,3201.75,217420321
2025-11-14,3145.92,3167.11,3111.51,3111.51,221877911
2025-11-17,3097.34,3120.73,3082.23,3105.2,225562453
2025-11-18,3089.38,3115.31,3052.64,3069.22,238199986
2025-11-19,3065.17,3113.22,3061.96,3076.85,226250386
2025-11-20,3131.84,3137.07,3039.38,3042.34,208791385
2025-11-21,2979.37,2996.79,2920.04,2920.08,261516446
2025-11-24,2946.46,2951.43,2892.27,2929.04,231619369
2025-11-25,2970.73,3027.83,2961.93,2980.93,240244351
2025-11-26,2976.7,3081.49,2962.99,3044.69,223349763
2025-11-27,3041.2,3113.44,3027.31,3031.3,203878146
2025-11-28,3029.98,3067.76,3013.49,3052.59,195152701
2025-12-01,3060.56,3093.96,3037.69,3092.5,219343139
2025-12-02,3091.37,3094.18,3056.36,3071.15,201291473
2025-12-03,3078.86,3105.3,3028.7,3036.79,204220766
2025-12-04,3037.05,3075.46,3016.58,3067.48,185603506
2025-12-05,3084.22,3115.81,3048.94,3109.3,197406943
2025-12-08,3119.15,3214.48,3119.15,3190.27,222726847
2025-12-09,3183.61,3235.54,3175.51,3209.6,204692715
2025-12-10,3201.38,3220.24,3143.41,3209.0,194187894
2025-12-11,3210.55,3246.32,3163.67,3163.67,202315261
2025-12-12,3172.73,3203.25,3137.63,3194.36,211247053
2025-12-15,3157.32,3184.62,3135.66,3137.8,188057375
2025-12-16,3130.43,3141.58,3058.79,3071.76,190119280
2025-12-17,3072.62,3181.69,3072.62,3175.91,195283898
2025-12-18,3138.66,3154.07,3107.06,3107.06,177286398
2025-12-19,3134.8,3157.29,3112.03,3122.24,185864900
2025-12-22,3153.75,3197.94,3153.75,3191.98,184291000
2025-12-23,3196.31,3227.07,3184.53,3205.01,191738351
2025-12-24,3207.41,3235.0,3193.97,3229.58,191381877
2025-12-25,3232.97,3249.11,3200.49,3239.34,202063805
2025-12-26,3232.41,3268.69,3219.13,3243.88,219182544
2025-12-29,3237.77,3250.09,3208.08,3222.61,203806961
2025-12-30,3208.32,3251.13,3207.73,3242.9,218126624
2025-12-31,3247.74,3254.89,3198.25,3203.17,215247355
2026-01-05,3229.93,3295.29,3229.93,3294.55,271932811
2026-01-06,3279.81,3321.44,3265.73,3319.29,287215987
2026-01-07,3331.34,3351.22,3298.55,3329.69,280159801
2026-01-08,3308.74,3328.96,3285.16,3302.31,289751046
2026-01-09,3279.38,3330.01,3269.99,3327.81,343906904
2026-01-12,3323.64,3398.05,3282.39,3388.34,421073541
2026-01-13,3390.69,3416.84,3307.63,3321.89,433839451
2026-01-14,3333.17,3403.95,3308.63,3349.14,457478907
