date,open,high,low,close,volume
2025-02-24,11.03,11.63,10.98,11.59,788086
2025-02-25,11.48,11.65,11.39,11.45,395840
2025-02-26,11.45,11.73,11.44,11.67,356077
2025-02-27,11.67,11.81,11.5,11.57,277198
2025-02-28,11.57,11.64,11.34,11.38,216115
2025-03-03,11.45,11.54,11.37,11.42,187157
2025-03-04,11.39,11.45,11.28,11.37,171356
2025-03-05,11.38,11.61,11.35,11.57,237593
2025-03-06,11.58,11.62,11.41,11.54,345175
2025-03-07,11.5,11.97,11.48,11.96,561353
2025-03-10,11.94,11.99,11.74,11.9,274367
2025-03-11,11.77,11.98,11.76,11.96,247660
2025-03-12,11.94,12.0,11.7,11.92,292661
2025-03-13,11.87,12.01,11.73,11.81,184065
2025-03-14,11.85,11.93,11.71,11.88,250578
2025-03-17,11.95,12.32,11.93,12.22,409200
2025-03-18,12.23,12.39,12.09,12.35,307190
2025-03-19,12.4,12.83,12.31,12.38,466743
2025-03-20,12.79,13.1,12.6,12.83,845645
2025-03-21,12.83,13.02,12.61,12.71,475618
2025-03-24,12.74,12.9,12.64,12.89,393619
2025-03-25,12.88,13.25,12.83,12.96,497476
2025-03-26,12.98,13.05,12.78,12.83,246142
2025-03-27,12.78,12.78,12.56,12.65,318655
2025-03-28,12.73,12.77,12.62,12.7,187206
2025-03-31,12.61,12.92,12.6,12.9,328784
2025-04-01,12.79,12.99,12.78,12.95,263093
2025-04-02,12.93,13.03,12.75,12.85,193627
2025-04-03,12.75,12.87,12.66,12.78,148910
2025-04-07,12.15,12.4,11.52,11.97,576324
2025-04-08,11.95,12.2,11.67,12.16,514105
2025-04-09,11.95,12.11,11.73,12.11,479273
2025-04-10,12.3,12.34,12.01,12.1,444479
2025-04-11,12.04,12.09,11.79,11.9,308635
2025-04-14,11.98,12.18,11.96,12.02,274735
2025-04-15,12.0,12.0,11.62,11.71,386606
2025-04-16,11.72,11.77,11.5,11.68,275965
2025-04-17,11.57,11.77,11.53,11.77,239701
2025-04-18,11.73,11.85,11.61,11.82,177813
2025-04-21,11.82,11.99,11.75,11.98,196066
2025-04-22,11.91,12.18,11.84,11.93,240013
2025-04-23,11.95,12.17,11.94,12.0,254183
2025-04-24,12.16,12.22,11.68,11.81,324612
2025-04-25,11.81,11.9,11.68,11.77,225986
2025-04-28,11.71,11.86,11.67,11.76,209048
2025-04-29,11.72,11.86,11.68,11.79,147720
2025-04-30,11.82,11.88,11.71,11.73,164230
2025-05-06,11.88,12.03,11.8,12.03,335929
2025-05-07,12.28,12.33,11.97,12.03,247085
2025-05-08,11.99,12.11,11.95,12.0,192176
2025-05-09,12.01,12.12,11.9,11.91,213970
2025-05-12,11.97,12.16,11.93,12.09,216933
2025-05-13,12.19,12.31,12.09,12.21,214696
2025-05-14,12.22,12.23,12.01,12.23,205808
2025-05-15,12.22,12.28,12.11,12.2,156524
2025-05-16,12.15,12.2,12.1,12.18,146747
2025-05-19,12.12,12.22,12.11,12.16,139698
2025-05-20,12.15,12.19,12.05,12.1,141023
2025-05-21,11.87,11.93,11.83,11.9,127354
2025-05-22,11.87,11.92,11.75,11.83,147524
2025-05-23,11.8,11.89,11.65,11.66,139243
2025-05-26,11.64,11.73,11.54,11.58,202106
2025-05-27,11.55,11.6,11.32,11.33,178013
2025-05-28,11.34,11.4,11.3,11.36,111072
2025-05-29,11.37,11.47,11.36,11.43,113697
2025-05-30,11.42,11.46,11.29,11.31,147457
2025-06-03,11.27,11.48,11.2,11.32,296218
2025-06-04,11.31,11.47,11.28,11.45,141138
2025-06-05,11.43,11.47,11.33,11.36,146914
2025-06-06,11.4,11.43,11.34,11.36,120014
2025-06-09,11.37,11.39,11.21,11.24,306926
2025-06-10,11.29,11.29,11.01,11.04,352856
2025-06-11,11.04,11.28,11.04,11.22,348088
2025-06-12,11.26,11.26,11.13,11.2,163532
2025-06-13,11.19,11.22,11.1,11.19,218799
2025-06-16,11.18,11.2,11.08,11.13,132214
2025-06-17,11.13,11.19,11.06,11.09,141902
2025-06-18,11.09,11.11,11.03,11.05,106116
2025-06-19,11.05,11.21,10.95,11.01,239705
2025-06-20,10.98,11.19,10.97,11.13,197710
2025-06-23,11.08,11.21,11.02,11.18,178608
2025-06-24,11.18,11.26,11.14,11.17,276485
2025-06-25,11.18,11.36,11.14,11.3,262069
2025-06-26,11.31,11.35,11.22,11.22,147480
2025-06-27,11.26,11.29,11.21,11.22,119840
2025-06-30,11.22,11.42,11.21,11.4,255088
2025-07-01,11.35,11.95,11.33,11.88,647402
2025-07-02,11.95,12.08,11.85,11.93,469753
2025-07-03,11.9,12.01,11.83,11.92,307114
