date,open,high,low,close,volume
2025-02-24,11.05,11.1,10.91,10.94,110542
2025-02-25,10.89,10.89,10.72,10.76,105512
2025-02-26,10.82,10.86,10.67,10.81,151649
2025-02-27,10.82,10.87,10.7,10.77,141466
2025-02-28,10.87,10.88,10.29,10.34,283471
2025-03-03,10.32,10.76,10.32,10.69,244616
2025-03-04,10.75,10.86,10.63,10.77,174155
2025-03-05,10.76,10.76,10.53,10.58,101052
2025-03-06,10.68,10.69,10.49,10.62,133549
2025-03-07,10.62,10.83,10.52,10.71,149161
2025-03-10,10.77,10.77,10.53,10.6,108282
2025-03-11,10.54,10.8,10.47,10.75,138241
2025-03-12,10.8,10.92,10.73,10.76,138871
2025-03-13,10.81,10.89,10.74,10.84,119413
2025-03-14,10.85,10.95,10.76,10.93,148766
2025-03-17,11.0,11.14,10.93,11.09,180357
2025-03-18,11.11,11.2,11.02,11.13,130083
2025-03-19,11.15,11.23,11.06,11.13,117417
2025-03-20,11.18,11.18,10.91,10.94,98942
2025-03-21,10.93,11.04,10.89,10.99,90774
2025-03-24,11.07,11.09,10.84,10.95,91638
2025-03-25,11.0,11.01,10.88,10.97,80884
2025-03-26,11.01,11.04,10.92,10.96,85221
2025-03-27,10.96,11.19,10.88,11.1,117405
2025-03-28,11.02,11.02,10.6,10.6,128455
2025-03-31,10.62,10.7,10.47,10.6,84596
2025-04-01,10.58,10.68,10.53,10.67,84584
2025-04-02,10.68,10.68,10.46,10.57,76540
2025-04-03,10.48,10.55,10.4,10.48,78032
2025-04-07,9.94,9.98,9.43,9.43,134094
2025-04-08,9.55,9.61,9.2,9.6,169215
2025-04-09,9.55,9.69,9.31,9.64,156447
2025-04-10,9.78,9.88,9.65,9.82,125652
2025-04-11,9.8,9.88,9.72,9.83,83323
2025-04-14,9.87,9.95,9.71,9.81,130930
2025-04-15,9.81,9.82,9.68,9.73,61082
2025-04-16,9.73,9.73,9.42,9.5,75386
2025-04-17,9.49,9.63,9.42,9.56,60781
2025-04-18,9.56,9.64,9.46,9.53,44386
2025-04-21,9.5,9.62,9.49,9.62,64958
2025-04-22,9.59,9.75,9.52,9.69,76011
2025-04-23,9.72,9.77,9.68,9.71,67173
2025-04-24,9.75,9.95,9.72,9.87,121685
2025-04-25,9.87,9.87,9.66,9.8,100900
2025-04-28,9.79,9.79,9.62,9.69,66231
2025-04-29,9.75,9.92,9.69,9.7,125074
2025-04-30,9.68,9.75,9.59,9.61,90951
2025-05-06,9.69,9.81,9.67,9.75,142444
2025-05-07,9.83,9.92,9.76,9.87,99667
2025-05-08,9.84,9.89,9.75,9.86,76498
2025-05-09,9.89,9.9,9.75,9.8,61027
2025-05-12,9.89,9.89,9.79,9.87,70252
2025-05-13,9.95,9.96,9.87,9.94,87165
2025-05-14,9.95,10.02,9.88,10.01,68542
2025-05-15,9.99,10.04,9.93,9.97,51824
2025-05-16,9.98,9.99,9.87,9.92,60312
2025-05-19,9.96,9.97,9.88,9.92,50645
2025-05-20,9.82,9.83,9.72,9.82,63567
2025-05-21,9.83,10.14,9.81,9.84,95624
2025-05-22,9.81,9.82,9.67,9.71,61569
2025-05-23,9.74,9.84,9.68,9.71,55645
2025-05-26,9.71,9.74,9.58,9.61,63241
2025-05-27,9.61,9.65,9.55,9.61,51153
2025-05-28,9.62,9.63,9.5,9.5,48756
2025-05-29,9.5,9.65,9.45,9.62,56899
2025-05-30,9.62,9.67,9.56,9.62,51919
2025-06-03,9.62,9.65,9.49,9.53,90926
2025-06-04,9.56,9.63,9.52,9.61,63994
2025-06-05,9.61,9.63,9.52,9.54,58374
2025-06-06,9.54,9.67,9.52,9.61,54969
2025-06-09,9.62,9.68,9.58,9.64,56211
2025-06-10,9.66,9.71,9.54,9.62,67120
2025-06-11,9.6,9.71,9.6,9.66,61633
2025-06-12,9.67,9.7,9.63,9.65,50218
2025-06-13,9.63,9.68,9.59,9.63,73208
2025-06-16,9.62,9.73,9.58,9.63,76573
2025-06-17,9.64,9.66,9.5,9.54,68193
2025-06-18,9.54,9.6,9.5,9.51,52936
2025-06-19,9.51,9.55,9.36,9.42,60197
2025-06-20,9.4,9.47,9.34,9.37,55285
2025-06-23,9.36,9.5,9.31,9.48,54080
2025-06-24,9.45,9.58,9.45,9.56,58826
2025-06-25,9.59,9.71,9.55,9.64,79715
2025-06-26,9.68,9.72,9.6,9.63,58161
2025-06-27,9.62,9.75,9.62,9.69,61709
2025-06-30,9.7,9.72,9.59,9.65,78375
2025-07-01,9.67,9.73,9.6,9.72,70758
2025-07-02,9.72,9.79,9.68,9.77,69544
2025-07-03,9.79,9.8,9.71,9.74,46786
2025-07-04,9.74,9.77,9.67,9.67,42761
2025-07-07,9.69,9.72,9.64,9.68,34248
2025-07-08,9.7,9.72,9.62,9.7,76145
2025-07-09,9.68,9.73,9.63,9.63,70153
2025-07-10,9.64,9.78,9.61,9.74,80010
2025-07-11,9.74,9.85,9.73,9.8,84916
2025-07-14,9.8,9.84,9.76,9.8,55843
2025-07-15,9.78,9.81,9.65,9.68,75914
2025-07-16,9.71,9.73,9.66,9.71,48176
2025-07-17,9.7,10.12,9.68,9.93,172967
2025-07-18,9.94,10.06,9.86,10.05,92420
2025-07-21,10.06,10.2,10.01,10.14,100774
2025-07-22,10.2,10.35,10.1,10.33,128105
