date,open,high,low,close,volume
2026-02-05 10:30:00,9.36,9.45,9.29,9.37,28725
2026-02-05 11:30:00,9.37,9.39,9.28,9.28,13372
2026-02-05 14:00:00,9.28,9.32,9.25,9.31,13111
2026-02-05 15:00:00,9.31,9.35,9.28,9.31,13923
2026-02-06 10:30:00,9.3,9.55,9.18,9.49,54582
2026-02-06 11:30:00,9.51,9.52,9.45,9.49,18361
2026-02-06 14:00:00,9.5,9.54,9.46,9.52,24475
2026-02-06 15:00:00,9.52,9.61,9.5,9.56,44744
2026-02-09 10:30:00,9.6,9.67,9.46,9.53,42321
2026-02-09 11:30:00,9.53,9.53,9.44,9.44,15737
2026-02-09 14:00:00,9.44,9.7,9.44,9.7,46639
2026-02-09 15:00:00,9.73,9.85,9.71,9.82,99729
2026-02-10 10:30:00,9.8,10.19,9.63,10.18,121212
2026-02-10 11:30:00,10.17,10.22,9.98,10.0,90313
2026-02-10 14:00:00,10.01,10.17,9.99,10.03,46392
2026-02-10 15:00:00,10.03,10.03,9.99,10.0,34908
2026-02-11 10:30:00,10.05,10.87,10.0,10.68,281317
2026-02-11 11:30:00,10.69,10.72,10.6,10.65,42380
2026-02-11 14:00:00,10.65,10.84,10.62,10.65,52160
2026-02-11 15:00:00,10.66,10.69,10.61,10.65,54667
2026-02-12 10:30:00,10.5,10.52,10.19,10.48,159903
2026-02-12 11:30:00,10.49,10.65,10.46,10.63,59233
2026-02-12 14:00:00,10.63,10.71,10.47,10.49,49836
2026-02-12 15:00:00,10.48,10.51,10.47,10.48,31195
2026-02-13 10:30:00,10.4,10.47,10.22,10.26,71653
2026-02-13 11:30:00,10.26,10.29,10.2,10.21,21780
2026-02-13 14:00:00,10.22,10.23,10.14,10.14,30341
2026-02-13 15:00:00,10.15,10.17,10.07,10.1,47061
2026-02-24 10:30:00,10.16,10.23,9.99,10.17,87257
2026-02-24 11:30:00,10.17,10.59,10.15,10.49,101395
2026-02-24 14:00:00,10.49,10.57,10.43,10.44,28544
2026-02-24 15:00:00,10.45,10.46,10.38,10.4,29425
2026-02-25 10:30:00,10.38,10.53,10.32,10.46,70402
2026-02-25 11:30:00,10.47,10.5,10.38,10.4,31046
2026-02-25 14:00:00,10.39,10.54,10.39,10.43,35104
2026-02-25 15:00:00,10.43,10.51,10.38,10.47,44094
2026-02-26 10:30:00,10.5,11.28,10.48,11.06,240022
2026-02-26 11:30:00,11.05,11.15,10.99,11.1,36821
2026-02-26 14:00:00,11.1,11.14,10.92,10.92,29944
2026-02-26 15:00:00,10.92,10.98,10.91,10.96,39759
2026-02-27 10:30:00,10.87,11.17,10.71,10.9,87829
2026-02-27 11:30:00,10.91,10.94,10.83,10.88,22016
2026-02-27 14:00:00,10.91,11.39,10.91,11.23,88922
2026-02-27 15:00:00,11.24,11.3,11.16,11.25,51013
2026-03-02 10:30:00,11.18,11.81,11.11,11.5,178701
2026-03-02 11:30:00,11.49,11.79,11.36,11.61,73499
2026-03-02 14:00:00,11.62,11.76,11.62,11.73,55434
2026-03-02 15:00:00,11.72,11.75,11.65,11.66,47602
2026-03-03 10:30:00,12.1,12.46,11.8,12.0,268228
2026-03-03 11:30:00,12.01,12.64,11.95,12.31,136996
2026-03-03 14:00:00,12.31,12.31,12.05,12.07,61481
2026-03-03 15:00:00,12.06,12.09,11.87,11.92,110701
2026-03-04 10:30:00,11.75,12.06,11.64,11.81,163710
2026-03-04 11:30:00,11.79,12.02,11.7,11.86,60144
2026-03-04 14:00:00,11.86,12.09,11.81,11.91,33980
2026-03-04 15:00:00,11.92,11.93,11.8,11.8,34424
2026-03-05 10:30:00,12.05,12.77,12.05,12.64,241908
2026-03-05 11:30:00,12.66,12.88,12.59,12.73,72512
2026-03-05 14:00:00,12.72,12.88,12.67,12.8,61220
2026-03-05 15:00:00,12.8,12.8,12.59,12.74,60346
2026-03-06 10:30:00,12.85,13.73,12.8,13.22,225625
2026-03-06 11:30:00,13.21,13.45,13.19,13.42,49631
2026-03-06 14:00:00,13.42,13.51,13.22,13.49,38165
2026-03-06 15:00:00,13.49,13.59,13.37,13.5,65978
2026-03-09 10:30:00,13.33,13.73,13.05,13.26,224948
2026-03-09 11:30:00,13.24,13.27,13.03,13.15,41536
2026-03-09 14:00:00,13.16,13.74,13.09,13.54,129692
2026-03-09 15:00:00,13.54,13.9,13.52,13.8,183344
2026-03-10 10:30:00,13.74,13.74,12.65,12.99,251999
2026-03-10 11:30:00,12.99,13.3,12.98,13.27,63853
2026-03-10 14:00:00,13.28,13.5,13.23,13.28,58576
2026-03-10 15:00:00,13.27,13.33,13.2,13.28,56154
2026-03-11 10:30:00,13.22,14.0,13.06,13.82,224721
2026-03-11 11:30:00,13.82,14.1,13.65,14.08,72359
2026-03-11 14:00:00,14.09,14.61,14.02,14.61,222612
2026-03-11 15:00:00,14.61,14.61,14.61,14.61,21159
2026-03-12 10:30:00,14.39,14.9,14.2,14.42,282053
2026-03-12 11:30:00,14.42,14.45,14.15,14.24,72404
2026-03-12 14:00:00,14.24,14.43,14.01,14.28,85766
2026-03-12 15:00:00,14.29,14.43,14.21,14.35,75342
2026-03-13 10:30:00,14.43,14.44,13.83,14.14,128050
2026-03-13 11:30:00,14.12,14.38,14.07,14.22,51487
2026-03-13 14:00:00,14.22,15.56,14.22,15.5,226308
2026-03-13 15:00:00,15.49,15.79,15.34,15.46,212544
2026-03-16 10:30:00,15.52,16.48,15.52,15.62,248154
2026-03-16 11:30:00,15.6,15.73,15.37,15.55,77268
2026-03-16 14:00:00,15.54,15.72,15.28,15.34,63504
2026-03-16 15:00:00,15.33,15.48,15.3,15.41,55798
2026-03-17 10:30:00,15.25,15.66,14.94,14.97,186107
2026-03-17 11:30:00,14.98,15.0,14.34,14.43,198297
2026-03-17 14:00:00,14.42,14.61,14.12,14.21,91624
2026-03-17 15:00:00,14.21,14.5,14.21,14.29,85438
2026-03-18 10:30:00,14.05,14.46,13.89,13.89,177625
2026-03-18 11:30:00,13.89,14.24,13.88,14.04,83341
2026-03-18 14:00:00,14.04,14.22,13.95,14.11,49185
2026-03-18 15:00:00,14.11,14.23,14.1,14.1,61767
2026-03-19 10:30:00,14.42,14.75,13.95,14.09,145770
2026-03-19 11:30:00,14.09,14.77,14.04,14.49,124960
2026-03-19 14:00:00,14.49,14.62,14.28,14.36,55490
2026-03-19 15:00:00,14.35,14.38,14.23,14.27,87171
2026-03-20 10:30:00,14.3,14.85,13.98,14.07,171037
2026-03-20 11:30:00,14.06,14.1,13.83,13.97,55440
2026-03-20 14:00:00,13.97,14.49,13.95,13.95,47301
2026-03-20 15:00:00,13.95,13.97,13.74,13.83,49573
2026-03-23 10:30:00,13.85,14.11,13.46,13.84,188994
2026-03-23 11:30:00,13.84,13.9,13.7,13.75,35883
2026-03-23 14:00:00,13.75,14.66,13.75,14.21,126747
2026-03-23 15:00:00,14.2,14.27,13.9,14.14,73309
2026-03-24 10:30:00,14.13,14.15,13.58,13.87,130437
2026-03-24 11:30:00,13.86,14.09,13.86,14.0,39537
2026-03-24 14:00:00,13.99,13.99,13.62,13.7,57479
2026-03-24 15:00:00,13.69,14.04,13.68,13.95,86248
2026-03-25 10:30:00,13.64,13.84,12.91,13.34,262000
2026-03-25 11:30:00,13.35,13.68,13.34,13.6,37293
2026-03-25 14:00:00,13.61,13.69,13.58,13.61,29387
2026-03-25 15:00:00,13.62,13.74,13.52,13.72,58118
2026-03-26 10:30:00,13.71,14.13,13.43,13.89,166994
2026-03-26 11:30:00,13.88,13.93,13.66,13.69,37142
2026-03-26 14:00:00,13.69,13.71,13.46,13.47,46179
2026-03-26 15:00:00,13.48,13.65,13.47,13.53,75130
2026-03-27 10:30:00,13.53,14.55,13.46,14.1,207621
2026-03-27 11:30:00,14.09,14.2,14.03,14.07,35078
2026-03-27 14:00:00,14.07,14.14,13.96,14.02,41788
2026-03-27 15:00:00,14.02,14.05,13.91,13.91,48354
2026-03-30 10:30:00,14.02,14.7,13.86,14.57,179383
2026-03-30 11:30:00,14.58,14.63,14.34,14.51,55067
2026-03-30 14:00:00,14.53,14.54,14.27,14.34,31996
2026-03-30 15:00:00,14.33,14.36,14.2,14.25,41565
